"HCP_ID","gender","Age"
14586,"FEMALE",34
46157,"MALE",34
16600,"MALE",34
16601,"MALE",33
16602,"FEMALE",33
16603,"MALE",32
16604,"FEMALE",32
16605,"FEMALE",31
16606,"MALE",31
16607,"MALE",31
3171,"MALE",30
16608,"MALE",25
16609,"FEMALE",25
16610,"MALE",25
11321,"FEMALE",24
4908,"MALE",24
11322,"MALE",24
16611,"FEMALE",24
16612,"FEMALE",24
16613,"FEMALE",24
2279,"FEMALE",23
43723,"FEMALE",23
14091,"FEMALE",23
16614,"MALE",23
16615,"FEMALE",22
14587,"MALE",22
16616,"MALE",22
16617,"FEMALE",121
16618,"FEMALE",121
16619,"MALE",121
16620,"MALE",121
16621,"MALE",121
8337,"FEMALE",121
16622,"FEMALE",120
16623,"MALE",120
16624,"FEMALE",120
16625,"MALE",120
16626,"MALE",117
6531,"MALE",108
16627,"FEMALE",27
14092,NA,70
16628,"MALE",120
16629,"MALE",79
16630,"MALE",108
16631,"MALE",117
11323,"MALE",117
16632,"MALE",107
16633,"MALE",100
3294,"FEMALE",117
9345,"MALE",117
14588,"MALE",98
13496,"FEMALE",27
16634,"FEMALE",78
16635,"FEMALE",27
2637,"FEMALE",117
16636,"MALE",119
16637,"MALE",68
6329,"MALE",27
16638,NA,119
8607,"FEMALE",117
16639,"FEMALE",117
9346,"MALE",110
9347,"MALE",107
8804,"MALE",99
385,"MALE",37
16640,"MALE",37
16641,"MALE",37
16642,"FEMALE",107
4310,"MALE",99
16643,NA,110
62,"MALE",108
16644,"MALE",117
6776,"MALE",119
16645,"FEMALE",77
2395,"MALE",68
14093,"FEMALE",27
16646,"FEMALE",27
46158,"MALE",79
43892,"FEMALE",79
16647,"MALE",69
14589,"FEMALE",118
1384,"MALE",60
16648,"MALE",60
3286,"MALE",60
16649,"MALE",59
16650,"MALE",109
43893,"MALE",109
43894,"MALE",90
16651,"FEMALE",89
5119,"MALE",67
14590,"MALE",49
16652,"FEMALE",27
8854,"FEMALE",120
16653,"FEMALE",119
9158,"MALE",119
43895,"MALE",57
9117,"MALE",87
16654,"MALE",77
2358,"MALE",80
11324,"MALE",78
11325,"MALE",27
16655,"FEMALE",99
9348,"MALE",70
16656,"MALE",68
43724,"FEMALE",68
16657,"FEMALE",57
2161,"MALE",57
16658,"MALE",51
16659,"MALE",49
9349,"MALE",49
635,"MALE",39
4965,"MALE",38
16660,"MALE",31
11326,"FEMALE",77
16661,"MALE",69
16662,"FEMALE",57
14591,"MALE",57
16663,"FEMALE",79
539,"FEMALE",77
16664,"MALE",30
7712,"MALE",120
16261,"MALE",97
535,"FEMALE",89
2439,"MALE",88
11327,"FEMALE",87
16665,"FEMALE",87
14094,"FEMALE",27
16666,"MALE",118
7600,"FEMALE",117
16667,"FEMALE",27
8391,"MALE",108
2050,"MALE",107
16668,"MALE",100
14592,"FEMALE",97
11328,"FEMALE",87
14593,"MALE",120
4417,"FEMALE",109
16669,"FEMALE",118
9161,"MALE",79
3875,"MALE",77
16670,"FEMALE",77
14594,"MALE",58
16671,"FEMALE",58
11329,"FEMALE",37
16672,NA,91
14095,"FEMALE",97
16673,"FEMALE",97
16674,"FEMALE",97
13497,"FEMALE",97
16675,"MALE",109
16676,"FEMALE",97
3669,"MALE",79
16677,"MALE",77
16678,"FEMALE",77
16679,"FEMALE",27
3718,"FEMALE",120
16680,"MALE",27
16681,"MALE",27
2855,"MALE",59
16682,"MALE",58
16683,"FEMALE",107
16684,"FEMALE",118
16685,"MALE",119
11330,"MALE",118
735,"FEMALE",69
6641,"MALE",58
16686,"MALE",79
11331,"MALE",77
4091,"FEMALE",118
16687,"FEMALE",27
16688,"FEMALE",27
16689,"MALE",27
16690,"MALE",27
11332,"FEMALE",27
16691,"MALE",27
2438,"FEMALE",27
16692,"FEMALE",27
16693,"MALE",119
16694,"MALE",108
14595,"MALE",119
4804,"MALE",118
16695,"MALE",107
16696,"FEMALE",118
14596,"MALE",27
16697,"FEMALE",27
16698,"MALE",27
16699,"FEMALE",27
45327,"MALE",27
14096,"FEMALE",120
16700,"FEMALE",120
370,"MALE",99
16701,NA,118
16702,"MALE",118
4889,"FEMALE",80
16703,"FEMALE",69
11333,"FEMALE",27
11334,"FEMALE",57
3698,"FEMALE",38
14597,"MALE",68
6574,"MALE",49
14598,"MALE",28
16704,"FEMALE",77
16705,"MALE",78
16706,"FEMALE",69
9350,"MALE",110
14599,"FEMALE",67
14600,"MALE",90
11335,"FEMALE",88
16707,"MALE",68
13498,"MALE",98
