HCP_ID,RL,P2P,OLV,RR,DRT,DMS,OLA,DEM,Region,Value,Speciality_ID
9304,0.645833015,0.475755453,NA,NA,0,0.169354796,NA,0.004458001,urban,H,307999
9305,0.419354677,0.190302134,NA,0.11516726,0,0.012195118,NA,0,urban,H,307999
9306,1,NA,NA,0.134361744,0,0.149253726,0.129584159,0.113179351,urban,L,307999
9307,0.564102173,NA,0.05470264,0.076778173,NA,0.138888836,0.158047244,0.002574342,urban,H,307999
9308,0.584905624,NA,0.145873666,0.383890867,0,0.19819808,0.125849576,0.044009454,urban,H,307999
9309,0.611110687,NA,NA,0.076778173,0,0.052631557,0.135164956,0,urban,M,307999
9310,0.666666508,NA,0.018234208,0.191945434,0,NA,0.109351763,0,urban,H,307999
9311,0.529411316,NA,NA,0.134361744,0,0.0625,0.217449268,0.015967139,urban,M,307999
9312,0.657894611,NA,0.036468417,0.11516726,0,0.171875,NA,NA,urban,H,307999
9313,0.612903118,0.095151067,NA,0.345501661,0.174999952,0.047872335,0.189590821,0,urban,H,307999
9314,0.727272511,0.380604267,0.091171026,NA,NA,0.014184393,NA,0.021791454,urban,H,307999
9315,0.53571415,0.095151067,NA,0.40308547,0.222222209,0.265625,0.103079513,0.175869855,urban,H,307999
9316,0.705882072,NA,NA,0.134361744,0,0,0.183309268,NA,urban,H,307999
9317,NA,0.095151067,0.018234208,0.019194543,0,0.117647052,NA,NA,urban,H,307999
9318,NA,0.095151067,NA,0.05758363,0,0,0,0.036018069,urban,H,307999
9319,0.639999867,NA,0.036468417,NA,0.090909064,NA,0.075026193,0.02541114,urban,H,307999
9320,0.857142448,0.28545332,NA,NA,NA,NA,0.085500293,0.20707236,urban,M,307999
9321,0.571428299,NA,NA,0.038389087,0,0.310679436,0.103300861,0,urban,M,307999
9322,0.738094807,NA,NA,0.441474438,0.058823526,0.023809522,0.123402083,0.393863635,urban,H,307999
9323,NA,0.095151067,0.036468417,0.383890867,0.444444418,0.097345114,0.120021132,0.342542973,urban,M,307999
9324,NA,0.190302134,0.018234208,0.11516726,NA,0.474999905,0.081164117,0.042593139,urban,H,307999
9325,0.611110687,NA,0.018234208,0.05758363,NA,NA,0.184950453,0,urban,H,307999
9326,0.695652008,0.095151067,NA,0.710197926,0.019607842,0,0.221595505,NA,urban,M,307999
9327,0.6875,NA,NA,0.11516726,0,0.195652127,0,0.026916968,urban,H,307999
9328,0.833333015,NA,NA,0.11516726,0,0.091743112,0.174551099,NA,urban,M,307999
9329,NA,NA,0.05470264,0.05758363,0,NA,0.175411421,0,urban,M,307999
9330,0.799999714,0.095151067,NA,0.05758363,NA,0.122806966,0.195687818,0,urban,M,307999
9331,0.866666317,0.190302134,0.018234208,NA,NA,0.139999986,NA,NA,rural,H,307999
9332,NA,0.190302134,0.036468417,0.134361744,0,0.057142854,0.082216337,0,urban,H,307999
9333,0.764705658,NA,0.036468417,0.019194543,NA,0,0.064686959,0,urban,H,307999
9334,0.815789223,NA,NA,0.249529004,0.058823526,0.008196719,0.356401803,NA,urban,H,307999
9335,0.888888836,0.095151067,NA,0.05758363,NA,0.032258064,0.107869107,0,urban,M,307999
9336,0.619047165,NA,NA,0.038389087,0,0.179999948,0.198400391,0.050167482,urban,H,307999
9337,0.565217018,NA,0.018234208,0.038389087,0,NA,0.14766605,0.03135939,urban,H,307999
9338,0.157894731,0.190302134,NA,0.172750831,0.375,0.170068026,0.171861386,0.382759587,urban,H,307999
9339,0.811320305,NA,0.218810558,NA,0,0,NA,0.010348999,urban,H,307999
9340,0.692307472,0.095151067,NA,0.019194543,0,0.736841679,0.064917232,0.167109466,urban,M,307999
9341,0.619047165,NA,0.018234208,NA,NA,0.028571427,0.049103026,0,urban,H,307999
9342,0.625,NA,0.34645009,0.038389087,0,0.259259224,0.105347541,0.069385052,urban,H,307999
9343,NA,0.28545332,NA,0.05758363,0,0.083333314,NA,0.040706323,urban,M,307999
9344,0.777777672,NA,0.255278826,0.633419991,0,0,0.225468659,0.005249192,urban,H,307999
9345,0.642857075,0.098088682,NA,0.021384433,0,0,0,0.026323862,urban,M,92938
9346,NA,0.196177363,0.020740807,0.009504192,0,0.108108103,NA,0.091539734,urban,M,92938
9347,0.538461208,NA,NA,0.002376048,0,0.799999714,0.024469911,NA,urban,M,92938
